quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude
Ain Diab Extension,Villa,26341.0,Bon état,205,33.598,-7.701
Oasis,Villa,19646.0,Bon état,649,33.564,-7.6223
Les Princesses,Duplex,13587.0,Bon état,184,33.582,-7.638
Ain Sebaa,Appartement,11405.0,Bon état,93,33.606,-7.544
Ain Diab Extension,Appartement,13725.0,Bon état,204,33.598,-7.701
Beausejour,Appartement,11538.0,Neuf,169,33.591,-7.6251
Roches Noires,Appartement,11026.0,Bon état,78,33.6001,-7.5711
Ain Sebaa,Appartement,12500.0,Bon état,88,33.606,-7.544
Ain Diab,Appartement,28866.0,Bon état,194,33.5955,-7.684
Les Princesses,Studio,21818.0,Bon état,55,33.582,-7.638
Sidi Moumen,Appartement,7755.0,Neuf,98,33.5895,-7.5178
Maarif Extension,Appartement,17127.0,Bon état,181,33.578,-7.6419
Racine,Villa,14685.0,Bon état,286,33.587,-7.6386
Oasis,Appartement,21818.0,Neuf,55,33.564,-7.6223
Palmier,Appartement,21429.0,Neuf,56,33.5784,-7.625
Palmier,Appartement,21636.0,Bon état,55,33.5784,-7.625
Gauthier,Appartement,28358.0,Neuf,67,33.5894,-7.6323
Gauthier,Studio,27119.0,Neuf,59,33.5894,-7.6323
Ferme Bretonne,Appartement,18224.0,Bon état,107,33.549,-7.5944
Oulfa,Appartement,10526.0,Bon état,76,33.5368,-7.6572
Oulfa,Appartement,9722.0,Recent,144,33.5368,-7.6572
Ain Diab Extension,Villa,19424.0,Bon état,278,33.598,-7.701
Ain Sebaa,Appartement,11441.0,Bon état,88,33.606,-7.544
Ain Diab Extension,Appartement,14286.0,Bon état,217,33.598,-7.701
Beausejour,Duplex,12364.0,Neuf,129,33.591,-7.6251
Bourgogne Ouest,Appartement,17391.0,Bon état,115,33.5895,-7.6156
Ain Sebaa,Appartement,14750.0,Bon état,80,33.606,-7.544
Riviera,Appartement,18901.0,Bon état,81,33.5937,-7.6716
Sidi Moumen,Appartement,7647.0,Bon état,85,33.5895,-7.5178
Bourgogne Est,Appartement,25349.0,Bon état,86,33.589,-7.6113
Palmier,Appartement,15625.0,Neuf,80,33.5784,-7.625
Anfa,Appartement,15714.0,Bon état,70,33.5892,-7.6554
Maarif,Appartement,12222.0,Bon état,90,33.578,-7.63
Belvedere,Appartement,12602.0,Bon état,123,33.5901,-7.5939
Belvedere,Studio,15455.0,Bon état,55,33.5901,-7.5939
Les Princesses,Studio,25000.0,Bon état,54,33.582,-7.638
Oasis,Studio,25000.0,Bon état,50,33.564,-7.6223
Bourgogne Ouest,Studio,23214.0,Bon état,56,33.5895,-7.6156
Oasis,Appartement,25000.0,Bon état,54,33.564,-7.6223
Mers Sultan,Appartement,12381.0,Bon état,105,33.5921,-7.6024
Les Princesses,Appartement,12800.0,Bon état,250,33.582,-7.638
Sidi Maarouf,Appartement,10541.0,Bon état,74,33.5433,-7.6578
Bourgogne Ouest,Studio,26750.0,Bon état,28,33.5895,-7.6156
Bourgogne Ouest,Appartement,12000.0,Bon état,100,33.5895,-7.6156
Ain Diab Extension,Maison,23913.0,Bon état,230,33.598,-7.701
Ain Sebaa,Appartement,13284.0,Bon état,77,33.606,-7.544
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701
Bourgogne Ouest,Studio,23684.0,Bon état,57,33.5895,-7.6156
Les Princesses,Studio,26250.0,Bon état,48,33.582,-7.638
Oasis,Appartement,17188.0,Bon état,80,33.564,-7.6223
Anfa,Studio,21429.0,Bon état,42,33.5892,-7.6554
Californie,Villa,52006.0,Bon état,673,33.5731,-7.6298
Ain Sebaa,Appartement,11111.0,Bon état,144,33.606,-7.544
Riviera,Studio,23224.0,Neuf,58,33.5937,-7.6716
Sidi Moumen,Appartement,7586.0,Bon état,87,33.5895,-7.5178
Bourgogne Ouest,Appartement,14815.0,Bon état,189,33.5895,-7.6156
Racine,Appartement,19136.0,Bon état,162,33.587,-7.6386
Racine,Appartement,17114.0,Bon état,149,33.587,-7.6386
Les Hopitaux,Appartement,12687.0,Bon état,134,33.584,-7.598
Beausejour,Appartement,11890.0,Bon état,164,33.591,-7.6251
Maarif Extension,Appartement,14045.0,Bon état,89,33.578,-7.6419
Gauthier,Appartement,25128.0,Neuf,39,33.5894,-7.6323
Maarif Extension,Appartement,11905.0,Bon état,126,33.578,-7.6419
Mers Sultan,Appartement,10902.0,A renover,133,33.5921,-7.6024
Ain Sebaa,Appartement,8667.0,Bon état,75,33.606,-7.544
Ain Diab Extension,Appartement,21164.0,Bon état,189,33.598,-7.701
Mers Sultan,Appartement,11200.0,Bon état,122,33.5921,-7.6024
Ferme Bretonne,Appartement,17219.0,Bon état,151,33.549,-7.5944
Bernoussi,Appartement,8738.0,Bon état,103,33.6058,-7.5341
Ain Diab Extension,Appartement,14609.0,Bon état,115,33.598,-7.701
Ain Diab Extension,Villa,21401.0,Bon état,257,33.598,-7.701
Ain Sebaa,Appartement,9754.0,Bon état,88,33.606,-7.544
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701
Oasis,Studio,22800.0,Bon état,50,33.564,-7.6223
Les Princesses,Studio,25000.0,Bon état,45,33.582,-7.638
Palmier,Studio,21429.0,Bon état,56,33.5784,-7.625
Les Princesses,Studio,28444.0,Bon état,45,33.582,-7.638
Les Princesses,Studio,26429.0,Bon état,70,33.582,-7.638
Hay Hassani,Appartement,12546.0,Bon état,104,33.5559,-7.6694
Riviera,Appartement,20208.0,Bon état,77,33.5937,-7.6716
Sidi Moumen,Appartement,7350.0,Bon état,100,33.5895,-7.5178
Palmier,Appartement,25000.0,Neuf,50,33.5784,-7.625
Bourgogne Ouest,Appartement,19643.0,Neuf,56,33.5895,-7.6156
Les Princesses,Appartement,28444.0,Bon état,45,33.582,-7.638
Oasis,Appartement,23600.0,Neuf,50,33.564,-7.6223
Anfa Superieur,Villa,18550.0,A renover,1186,33.5936,-7.6623
Polo,Villa,9703.0,A renover,1010,33.584,-7.652
Californie,Villa,13665.0,Bon état,1610,33.5731,-7.6298
Les Princesses,Appartement,14052.0,Bon état,153,33.582,-7.638
Anfa Superieur,Villa,22030.0,Bon état,808,33.5936,-7.6623
Sidi Maarouf,Maison,6400.0,Recent,500,33.5433,-7.6578
Belvedere,Appartement,5705.0,Bon état,149,33.5901,-7.5939
Les Princesses,Appartement,15789.0,Bon état,133,33.582,-7.638
Ain Diab,Appartement,27811.0,Bon état,169,33.5955,-7.684
Ain Diab,Appartement,20205.0,Bon état,292,33.5955,-7.684
Oasis,Villa,11000.0,Bon état,949,33.564,-7.6223
Ain Sebaa,Appartement,11646.0,Bon état,79,33.606,-7.544
Ain Diab Extension,Villa,14528.0,Bon état,413,33.598,-7.701
Ain Sebaa,Appartement,11191.0,Bon état,76,33.606,-7.544
Ain Diab Extension,Appartement,13148.0,Bon état,270,33.598,-7.701
Les Hopitaux,Studio,12650.0,Bon état,100,33.584,-7.598
Palmier,Studio,22500.0,Bon état,60,33.5784,-7.625
Palmier,Studio,24400.0,Bon état,50,33.5784,-7.625
Oasis,Studio,21800.0,Bon état,50,33.564,-7.6223
Riviera,Studio,22000.0,Bon état,55,33.5937,-7.6716
Sidi Moumen,Appartement,7593.0,Neuf,108,33.5895,-7.5178
Beausejour,Appartement,10219.0,Bon état,137,33.591,-7.6251
Bourgogne Ouest,Appartement,15500.0,Bon état,100,33.5895,-7.6156
Oasis,Studio,22600.0,Bon état,50,33.564,-7.6223
Oasis,Appartement,23289.0,Bon état,76,33.564,-7.6223
Ain Diab,Appartement,27094.0,Bon état,203,33.5955,-7.684
Ferme Bretonne,Appartement,22449.0,Neuf,49,33.549,-7.5944
Ain Diab,Villa,21667.0,Bon état,600,33.5955,-7.684
Anfa Superieur,Villa,23889.0,Bon état,1800,33.5936,-7.6623
Anfa,Villa,23500.0,Bon état,1000,33.5892,-7.6554
Mers Sultan,Studio,20233.0,Bon état,43,33.5921,-7.6024
Maarif Extension,Appartement,20333.0,Bon état,120,33.578,-7.6419
Bourgogne Ouest,Appartement,12688.0,Bon état,93,33.5895,-7.6156
Les Princesses,Studio,18493.0,Bon état,73,33.582,-7.638
Ain Diab Extension,Villa,15000.0,Bon état,400,33.598,-7.701
Ain Sebaa,Appartement,13111.0,Bon état,72,33.606,-7.544
Ain Sebaa,Appartement,10879.0,Neuf,91,33.606,-7.544
Palmier,Duplex,19231.0,Bon état,65,33.5784,-7.625
Les Princesses,Studio,22549.0,Bon état,51,33.582,-7.638
Les Princesses,Studio,27234.0,Bon état,47,33.582,-7.638
Oasis,Studio,21538.0,Bon état,52,33.564,-7.6223
Hay Hassani,Appartement,11201.0,Neuf,90,33.5559,-7.6694
Riviera,Appartement,20986.0,Bon état,70,33.5937,-7.6716
Sidi Moumen,Appartement,8776.0,Bon état,98,33.5895,-7.5178
Anfa Superieur,Villa,17250.0,Bon état,2000,33.5936,-7.6623
Anfa Superieur,Villa,36000.0,Bon état,1000,33.5936,-7.6623
Anfa,Villa,19091.0,Bon état,1100,33.5892,-7.6554
Belvedere,Studio,8904.0,Bon état,73,33.5901,-7.5939
Belvedere,Appartement,13077.0,Bon état,65,33.5901,-7.5939
Anfa,Appartement,19828.0,Bon état,58,33.5892,-7.6554
Les Princesses,Appartement,25600.0,Neuf,50,33.582,-7.638
Palmier,Studio,22545.0,Neuf,55,33.5784,-7.625
Mers Sultan,Studio,16667.0,Bon état,51,33.5921,-7.6024
Ain Diab,Villa,25733.0,Bon état,750,33.5955,-7.684
Gauthier,Appartement,14103.0,Bon état,156,33.5894,-7.6323
Maarif Extension,Appartement,15294.0,Bon état,85,33.578,-7.6419
Maarif Extension,Appartement,12037.0,Bon état,162,33.578,-7.6419
Val Fleury,Appartement,15041.0,Bon état,123,33.565,-7.637
Ain Sebaa,Appartement,12316.0,Bon état,71,33.606,-7.544
Ain Sebaa,Appartement,12922.0,Neuf,77,33.606,-7.544
Ferme Bretonne,Studio,22857.0,Bon état,56,33.549,-7.5944
Palmier,Studio,26222.0,Bon état,45,33.5784,-7.625
Val Fleury,Appartement,15041.0,Bon état,123,33.565,-7.637
Ferme Bretonne,Appartement,24000.0,Neuf,50,33.549,-7.5944
Sidi Maarouf,Villa,9565.0,Bon état,1150,33.5433,-7.6578
Hay Hassani,Appartement,13064.0,Neuf,75,33.5559,-7.6694
Riviera,Appartement,21709.0,Bon état,86,33.5937,-7.6716
Sidi Moumen,Appartement,8000.0,Neuf,100,33.5895,-7.5178
Palmier,Appartement,23684.0,Neuf,57,33.5784,-7.625
Palmier,Studio,20635.0,Neuf,63,33.5784,-7.625
Les Princesses,Appartement,21200.0,Bon état,75,33.582,-7.638
Californie,Villa,13333.0,Bon état,1500,33.5731,-7.6298
Californie,Villa,19481.0,Bon état,462,33.5731,-7.6298
Les Princesses,Appartement,22000.0,Bon état,50,33.582,-7.638
Palmier,Appartement,20536.0,Neuf,56,33.5784,-7.625
Maarif,Appartement,15109.0,Bon état,92,33.578,-7.63
Gauthier,Appartement,14444.0,Bon état,180,33.5894,-7.6323
Sidi Maarouf,Villa,11350.0,Bon état,600,33.5433,-7.6578
Ain Diab Extension,Villa,15900.0,Bon état,500,33.598,-7.701
Ain Sebaa,Appartement,12211.0,Bon état,71,33.606,-7.544
Ain Sebaa,Appartement,10097.0,Neuf,103,33.606,-7.544
Ain Diab,Appartement,26829.0,Bon état,205,33.5955,-7.684
Racine,Appartement,25000.0,Bon état,260,33.587,-7.6386
Californie,Villa,12000.0,Bon état,2000,33.5731,-7.6298
Ain Diab,Appartement,21533.0,Bon état,150,33.5955,-7.684
Hay Hassani,Appartement,12813.0,Bon état,75,33.5559,-7.6694
Riviera,Appartement,19986.0,Bon état,73,33.5937,-7.6716
Sidi Moumen,Appartement,8036.0,Bon état,84,33.5895,-7.5178
Californie,Villa,15909.0,Recent,440,33.5731,-7.6298
Oasis,Studio,22400.0,Bon état,50,33.564,-7.6223
Palmier,Studio,18769.0,Bon état,65,33.5784,-7.625
Ferme Bretonne,Appartement,19885.0,Bon état,87,33.549,-7.5944
Oasis,Studio,14043.0,Bon état,94,33.564,-7.6223
Palmier,Studio,18769.0,Bon état,65,33.5784,-7.625
Ferme Bretonne,Studio,26222.0,Bon état,45,33.549,-7.5944
Palmier,Appartement,19792.0,Bon état,96,33.5784,-7.625
Palmier,Studio,26939.0,Bon état,49,33.5784,-7.625
Les Princesses,Studio,13025.0,Bon état,119,33.582,-7.638
Oasis,Studio,27381.0,Neuf,42,33.564,-7.6223
Les Princesses,Studio,22642.0,Neuf,53,33.582,-7.638
Roches Noires,Appartement,11358.0,Bon état,81,33.6001,-7.5711
Maarif,Appartement,15204.0,A renover,98,33.578,-7.63
Oasis,Studio,18308.0,Bon état,65,33.564,-7.6223
Ain Sebaa,Appartement,10000.0,Bon état,98,33.606,-7.544
Hay Hassani,Appartement,14851.0,Bon état,101,33.5559,-7.6694
Racine,Appartement,19583.0,Bon état,120,33.587,-7.6386
Californie,Appartement,17500.0,Bon état,200,33.5731,-7.6298
Oasis,Studio,18219.0,Bon état,73,33.564,-7.6223
Oasis,Appartement,23600.0,Neuf,50,33.564,-7.6223
Palmier,Studio,24107.0,Bon état,56,33.5784,-7.625
Californie,Appartement,17079.0,Bon état,95,33.5731,-7.6298
Maarif Extension,Appartement,20106.0,Bon état,47,33.578,-7.6419
Les Princesses,Duplex,15341.0,Bon état,88,33.582,-7.638
Palmier,Studio,24906.0,Bon état,53,33.5784,-7.625
Palmier,Studio,25600.0,Bon état,50,33.5784,-7.625
Les Princesses,Studio,24655.0,Bon état,58,33.582,-7.638
Oasis,Studio,27059.0,Bon état,51,33.564,-7.6223
Val Fleury,Appartement,16525.0,Bon état,118,33.565,-7.637
Les Hopitaux,Villa,12409.0,Bon état,274,33.584,-7.598
Ain Diab,Villa,12256.0,Bon état,718,33.5955,-7.684
Bourgogne Ouest,Appartement,14824.0,Neuf,199,33.5895,-7.6156
Anfa Superieur,Villa,26734.0,Bon état,1197,33.5936,-7.6623
Californie,Appartement,15294.0,Bon état,170,33.5731,-7.6298
Ain Sebaa,Appartement,12901.0,Bon état,72,33.606,-7.544
Palmier,Appartement,12982.0,Bon état,114,33.5784,-7.625
Ain Sebaa,Appartement,10400.0,Bon état,100,33.606,-7.544
Oulfa,Appartement,16337.0,Neuf,101,33.5368,-7.6572
Racine,Appartement,18857.0,Bon état,175,33.587,-7.6386
Californie,Appartement,17073.0,Bon état,96,33.5731,-7.6298
Maarif Extension,Appartement,45370.0,Neuf,54,33.578,-7.6419
Bourgogne Ouest,Appartement,13441.0,Neuf,186,33.5895,-7.6156
Palmier,Appartement,18788.0,Bon état,132,33.5784,-7.625
Mers Sultan,Appartement,18561.0,Bon état,132,33.5921,-7.6024
Racine,Appartement,19737.0,Bon état,190,33.587,-7.6386
Racine,Studio,25513.0,Bon état,78,33.587,-7.6386
Les Princesses,Appartement,15000.0,Bon état,160,33.582,-7.638
Ferme Bretonne,Appartement,20377.0,Neuf,53,33.549,-7.5944
Palmier,Appartement,21071.0,Neuf,56,33.5784,-7.625
Les Princesses,Appartement,15000.0,Neuf,88,33.582,-7.638
Maarif Extension,Appartement,10744.0,Bon état,121,33.578,-7.6419
Bourgogne Ouest,Appartement,10582.0,Bon état,170,33.5895,-7.6156
Palmier,Studio,29697.0,Bon état,33,33.5784,-7.625
Salam,Appartement,15926.0,Bon état,135,33.5487,-7.6411
Racine,Appartement,16327.0,Bon état,294,33.587,-7.6386
Californie,Appartement,20779.0,Bon état,43,33.5731,-7.6298
Ain Diab,Studio,32759.0,Bon état,58,33.5955,-7.684
Les Princesses,Studio,17143.0,Bon état,70,33.582,-7.638
Les Princesses,Studio,29333.0,Bon état,45,33.582,-7.638
Palmier,Studio,25000.0,Bon état,50,33.5784,-7.625
Gauthier,Studio,26471.0,Bon état,51,33.5894,-7.6323
Californie,Appartement,17050.0,Bon état,100,33.5731,-7.6298
Maarif Extension,Appartement,22093.0,Bon état,86,33.578,-7.6419
Les Princesses,Studio,22000.0,Neuf,50,33.582,-7.638
Nassim,Appartement,10235.0,Bon état,85,33.575,-7.619
Ain Diab,Maison,20500.0,Bon état,400,33.5955,-7.684
Bourgogne Ouest,Appartement,20952.0,Recent,105,33.5895,-7.6156
Maarif,Studio,24390.0,Bon état,41,33.578,-7.63
Bourgogne Ouest,Appartement,16667.0,A renover,132,33.5895,-7.6156
Racine,Appartement,21348.0,Bon état,178,33.587,-7.6386
Racine,Appartement,19886.0,Bon état,176,33.587,-7.6386
Californie,Villa,14000.0,Neuf,400,33.5731,-7.6298
Maarif Extension,Appartement,10331.0,Bon état,121,33.578,-7.6419
Ain Diab Extension,Appartement,14286.0,Bon état,217,33.598,-7.701
Mers Sultan,Appartement,6995.0,Recent,386,33.5921,-7.6024
Racine,Appartement,18750.0,Bon état,128,33.587,-7.6386
Maarif,Appartement,15873.0,Bon état,126,33.578,-7.63
Californie,Appartement,20558.0,Bon état,52,33.5731,-7.6298
Maarif Extension,Appartement,23684.0,Bon état,76,33.578,-7.6419
Oasis,Studio,20308.0,Bon état,65,33.564,-7.6223
Palmier,Studio,24107.0,Bon état,56,33.5784,-7.625
Oasis,Studio,26042.0,Bon état,48,33.564,-7.6223
Hay Hassani,Appartement,14851.0,Bon état,101,33.5559,-7.6694
Californie,Appartement,20558.0,Bon état,52,33.5731,-7.6298
Maarif Extension,Appartement,27778.0,Neuf,36,33.578,-7.6419
Ain Sebaa,Appartement,10370.0,Bon état,81,33.606,-7.544
Ain Sebaa,Studio,12000.0,Bon état,42,33.606,-7.544
Sidi Maarouf,Appartement,10500.0,Bon état,90,33.5433,-7.6578
Les Hopitaux,Studio,19286.0,Bon état,70,33.584,-7.598
Les Hopitaux,Appartement,13312.0,Bon état,154,33.584,-7.598
Salam,Appartement,13008.0,Bon état,123,33.5487,-7.6411
Racine,Appartement,14653.0,Bon état,202,33.587,-7.6386
Roches Noires,Appartement,7326.0,Bon état,86,33.6001,-7.5711
Mers Sultan,Appartement,14465.0,Bon état,159,33.5921,-7.6024
Oulfa,Villa,13889.0,Bon état,360,33.5368,-7.6572
Bourgogne Ouest,Appartement,17355.0,Bon état,121,33.5895,-7.6156
Maarif,Appartement,20000.0,Bon état,150,33.578,-7.63
Bourgogne Est,Appartement,13077.0,Bon état,130,33.589,-7.6113
Les Princesses,Appartement,13725.0,Bon état,153,33.582,-7.638
Oasis,Villa,26500.0,Bon état,200,33.564,-7.6223
