category,osm_id,osm_type,name,subtype,lat,lon,address,city,phone,website
transports_lourds,2235605385,node,Boulevard Bahmad,tram_stop,33.5947641,-7.5864433,,,,
transports_lourds,2235605392,node,Facultés Terminus,tram_stop,33.5458118,-7.6571777,,,,
transports_lourds,2235605394,node,Ali Yata علي يعتة,tram_stop,33.5914733,-7.5699572,,,,
transports_lourds,2235605401,node,Zenith,tram_stop,33.5407369,-7.642815,,,,
transports_lourds,2235605408,node,Bachkou,tram_stop,33.5652367,-7.626854,,,,
transports_lourds,2235605416,node,La Résistance,tram_stop,33.5934485,-7.6031621,,,,
transports_lourds,2235605418,node,Sidi Abderrahmane,tram_stop,33.5719563,-7.6693821,,,,
transports_lourds,2235605421,node,Facultés,tram_stop,33.5458466,-7.6571703,,,,
transports_lourds,2235605426,node,Gare Oasis,tram_stop,33.554127,-7.6313118,,,,
transports_lourds,2235605430,node,Sidi Abderrahmane,tram_stop,33.5719409,-7.6694191,,,,
transports_lourds,2235605431,node,Anciens Abattoirs,tram_stop,33.5909906,-7.578581,,,,
transports_lourds,2235605454,node,Hay Raja,tram_stop,33.5766816,-7.5484674,,,,
transports_lourds,2235605472,node,Faculté de Médecine,tram_stop,33.5749271,-7.625824,,,,
transports_lourds,2235605474,node,Mekka,tram_stop,33.5578244,-7.6298311,,,,
transports_lourds,2235605477,node,Cité de l'Air,tram_stop,33.5682234,-7.6641842,,,,
transports_lourds,2235605483,node,Boulevard Bahmad,tram_stop,33.5948302,-7.5864897,,,,
transports_lourds,2235605581,node,Littoral,tram_stop,33.5809428,-7.6748004,,,,
transports_lourds,2235605616,node,Marche Central,tram_stop,33.5946005,-7.6126113,,,,
transports_lourds,2235605622,node,Mohamed Zefzaf,tram_stop,33.5823627,-7.5086783,,,,
transports_lourds,2235605636,node,Bachkou,tram_stop,33.5652363,-7.6268049,,,,
transports_lourds,2235605643,node,Hôpital Sidi Moumen,tram_stop,33.5765838,-7.5177446,,,,
transports_lourds,2235605648,node,Zenith,tram_stop,33.5407714,-7.6428042,,,,
transports_lourds,2235605651,node,Avenue Hassan II,tram_stop,33.5841157,-7.6230413,,,,
transports_lourds,2235605654,node,Ennassim,tram_stop,33.5848658,-7.5047309,,,,
transports_lourds,2235605660,node,Hay Hassani,tram_stop,33.5765668,-7.6729263,,,,
transports_lourds,2235605663,node,Hay Mohammadi,tram_stop,33.5856343,-7.5667291,,,,
transports_lourds,2235605664,node,Cité de l'Air,tram_stop,33.5681675,-7.6642082,,,,
transports_lourds,2235605681,node,Littoral,tram_stop,33.5809366,-7.674844,,,,
transports_lourds,2235605682,node,Centre de Maintenance,tram_stop,33.5795318,-7.5131257,,,,
transports_lourds,2235605686,node,Hay Mohammadi,tram_stop,33.585596,-7.5668241,,,,
transports_lourds,2235605690,node,Attacharouk,tram_stop,33.5740556,-7.5243104,,,,
transports_lourds,2235605694,node,Casa Voyageurs,tram_stop,33.5903581,-7.5919484,,,,
transports_lourds,2235605718,node,La Résistance,tram_stop,33.5934792,-7.6031545,,,,
transports_lourds,2235605719,node,Grande Ceinture,tram_stop,33.5904069,-7.5737654,,,,
transports_lourds,2235605753,node,Abdelmoumen,tram_stop,33.5705527,-7.6259823,,,,
transports_lourds,2235605755,node,Place des Nations Unies,tram_stop,33.595121,-7.6181166,,,,
transports_lourds,2235605765,node,Panoramique,tram_stop,33.5471668,-7.6318846,,,,
transports_lourds,2235605781,node,Ghandi,tram_stop,33.5687753,-7.6446034,,,,
transports_lourds,2235605791,node,Panoramique,tram_stop,33.547182,-7.6318613,,,,
transports_lourds,2235605803,node,Forces Auxilliaires,tram_stop,33.5747292,-7.5394513,,,,
transports_lourds,2235605807,node,Sidi Moumen Terminus,tram_stop,33.5869421,-7.5014958,,,,
